max_depth	min_split	ganancia_promedio
4	1000	8481333
4	800	8476000
4	600	8476000
4	400	8476000
4	200	8476000
4	100	8476000
4	50	8476000
4	20	8476000
4	10	8477333
6	1000	9354000
6	800	9328667
6	600	9328000
6	400	9327333
6	200	9317333
6	100	9305333
6	50	9326000
6	20	9362667
6	10	9390000
8	1000	9526667
8	800	9570667
8	600	9720000
8	400	9727333
8	200	9472000
8	100	9448667
8	50	9459333
8	20	9546000
8	10	9508667
10	1000	9285333
10	800	9420000
10	600	9290000
10	400	8989333
10	200	8756000
10	100	8614000
10	50	8660667
10	20	8793333
10	10	8628000
12	1000	9163333
12	800	9270667
12	600	9223333
12	400	8784667
12	200	7746667
12	100	7288000
12	50	7323333
12	20	7363333
12	10	7232000
14	1000	8838000
14	800	8524000
14	600	8300000
14	400	7778667
14	200	6269333
14	100	5737333
14	50	5519333
14	20	5352000
14	10	5261333
