fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 095202	-0.0955896999759716	6262	893	16	5	9104000	1
20220408 095413	-0.34097608102893	5068	739	6	5	9262000	2
20220408 095632	-0.157575658976566	5591	1809	10	5	8552000	3
20220408 095916	-0.629799736382847	3139	305	11	5	9278000	4
20220408 100047	-0.834923421031272	7070	1670	9	5	8921000	5
20220408 100301	-0.545897791141761	7703	389	18	5	9037000	6
20220408 100358	-0.196800366332172	6600	1064	4	5	9064000	7
20220408 100528	-0.0284950042332638	4639	1933	20	5	8712000	8
20220408 100609	-0.987067173575633	4365	183	3	5	8971000	9
20220408 100700	0.0553406214035932	2410	28	14	5	0	10
20220408 100832	-0.776897530312999	3709	1599	12	5	8764000	11
20220408 101031	-0.815777257690206	4773	563	7	5	9262000	12
20220408 101143	-0.431943554338068	4811	1368	6	5	8577000	13
20220408 101312	-0.669712437884882	7790	1949	17	5	9031000	14
20220408 101452	-0.215263122273609	3183	230	11	5	9120000	15
20220408 101552	-0.818697350425646	3342	626	4	5	9132000	16
20220408 101737	-0.237130435388751	7125	722	20	5	8921000	17
20220408 101909	-0.0917739104368899	6765	1	7	5	8676000	18
20220408 102019	-0.989350720639294	5487	1	5	5	8924000	19
20220408 102134	-0.699558791350733	7990	212	4	5	8694000	20
20220408 102358	-0.89162570493228	4162	303	20	5	9090000	21
20220408 102445	-0.274253657295354	7728	1	3	5	7984000	22
20220408 102623	-0.843364530871833	3718	149	9	5	9199000	23
20220408 102805	-0.353240174929652	1329	661	20	5	10018000	24
20220408 103041	-0.404155594081537	31	3	19	5	5286000	25
20220408 103200	-0.991542779283554	1166	502	20	5	9968000	26
20220408 103558	-0.0242383767196741	4	1	20	5	6976000	27
20220408 103756	-0.766647364629998	2103	1051	20	5	10220000	28
20220408 103953	-0.999953513071783	7477	588	11	5	9037000	29
20220408 104051	0.0965252215502829	1198	1	6	5	0	30
20220408 104345	-0.338230459184029	2924	1459	20	5	8959000	31
20220408 104640	-0.751416991892822	424	212	20	5	8367000	32
20220408 104851	-0.822132430980194	2045	1021	20	5	10390000	33
20220408 105116	-0.936514777533742	4686	56	11	5	8598000	34
20220408 105319	-0.999036174016187	3397	1567	10	5	8762000	35
20220408 105526	-0.99593303241206	1709	835	20	5	10135000	36
20220408 105613	-0.587036160960519	7515	1228	3	5	8795000	37
20220408 105734	-0.791338992712077	7982	969	20	5	9037000	38
20220408 105920	-0.694896626901663	2237	1114	20	5	9726000	39
20220408 110030	-0.855468513069913	2192	1093	20	5	9910000	40
20220408 110149	-0.304301206712296	1182	589	20	5	9926000	41
20220408 110256	-0.214844550311876	5136	644	10	5	9262000	42
20220408 110406	-0.637028028748633	8000	826	20	5	9037000	43
20220408 110501	-0.536753008696026	4001	1997	20	5	8684000	44
20220408 110534	-0.999971215547863	6302	736	5	5	9104000	45
20220408 110636	-0.146841401381294	967	478	20	5	9858000	46
20220408 110657	0.0966496603142354	1952	61	20	5	0	47
20220408 110720	-0.129405152299084	1266	628	3	5	9314000	48
20220408 110807	-0.351723233788019	7979	691	20	5	9037000	49
20220408 110832	-0.524351037743535	1801	890	3	5	9184000	50
20220408 110925	-0.804027329783871	2107	1051	20	5	10220000	51
20220408 111021	-0.192065821574034	1730	863	20	5	10002000	52
20220408 111118	-0.830886446343212	1652	826	20	5	9927000	53
20220408 111217	-0.822123180098462	3065	1209	20	5	8991000	54
20220408 111316	-0.754218676571351	2012	1003	10	5	10455000	55
20220408 111416	-0.576784350991944	2025	1000	14	5	10618000	56
20220408 111443	-0.0615650488757397	7994	1999	3	5	8789000	57
20220408 111509	-0.740621862082025	7759	2000	3	5	8789000	58
20220408 111607	-0.346832197378493	1960	973	13	5	10543000	59
20220408 111701	-0.819682482389826	2023	971	15	5	10544000	60
20220408 111755	-0.493993936800228	2079	999	16	5	10485000	61
20220408 111843	-0.536462069462143	6267	998	12	5	9107000	62
20220408 111937	-0.355312006106294	1968	978	17	5	10546000	63
20220408 112025	-0.0904978297741768	7999	1999	20	5	9031000	64
20220408 112114	-0.985884706994734	2010	1004	7	5	10455000	65
20220408 112206	-0.325566461130482	1985	992	8	5	10498000	66
20220408 112249	-0.606846936435613	2023	1003	16	5	10455000	67
20220408 112337	-0.829946126139367	2034	1017	9	5	10391000	68
20220408 112428	-0.555720846739664	1985	987	20	5	10498000	69
20220408 112528	-0.43184841002436	2037	999	20	5	10485000	70
20220408 112608	-0.135419269844577	7996	399	6	5	9037000	71
20220408 112725	-0.339585936238956	1965	976	20	5	10547000	72
20220408 112922	-0.0978302093747743	2051	1023	20	5	10389000	73
20220408 113021	-0.999844545600583	7995	2000	3	5	8789000	74
20220408 113138	-0.999636243093939	744	368	7	5	9131000	75
20220408 113327	-0.374169566838407	2039	1008	10	5	10420000	76
20220408 113458	-0.106951863560853	2260	1129	7	5	10021000	77
20220408 113632	-0.277120202909964	1992	991	10	5	10496000	78
20220408 113810	-0.575972075048753	2030	1013	11	5	10376000	79
20220408 113945	-0.743197043420224	2009	998	14	5	10485000	80
20220408 114120	-0.999947767706227	2001	986	14	5	10498000	81
20220408 114329	-0.564606879845912	1999	994	15	5	10485000	82
20220408 114508	-0.48174130156504	2007	998	20	5	10485000	83
20220408 114638	-0.583300993610285	2123	981	20	5	10495000	84
20220408 114734	-0.251557281903784	2049	1024	6	5	10356000	85
20220408 114904	-0.967197780947065	1968	983	17	5	10494000	86
20220408 115010	-0.776296001243835	2008	996	13	5	10485000	87
20220408 115219	-0.516508646403308	2036	1009	19	5	10420000	88
20220408 115434	-0.45065210147577	2000	995	14	5	10485000	89
20220408 115632	-0.318921467105102	2093	1039	14	5	10149000	90
20220408 115809	-0.276809315043544	1859	923	8	5	10374000	91
20220408 115851	-0.0995027969577804	3127	1560	3	5	8473000	92
20220408 120016	-0.662092158416274	2035	998	7	5	10485000	93
20220408 120143	-0.353177419575078	7999	1999	7	5	9031000	94
20220408 120442	-0.115529182459799	7996	2	20	5	8604000	95
20220408 120602	-0.588448953355648	7991	2000	8	5	9031000	96
20220408 120830	-0.999881341986921	7950	14	20	5	8496000	97
20220408 120953	-0.760756081123603	2028	1008	6	5	10420000	98
20220408 121137	-0.229752251815554	1949	973	9	5	10543000	99
20220408 121248	-0.999353184226962	7999	2000	20	5	9031000	100
20220408 121428	-0.582517940259359	1949	972	14	5	10543000	101
20220408 121553	-0.577967364417565	2184	1005	17	5	10454000	102
20220408 121726	-0.640041440823348	2661	1005	14	5	10141000	103
20220408 121914	-0.244578369374488	985	488	9	5	9894000	104
20220408 122040	-0.0689326442119996	8000	1342	9	5	9037000	105
20220408 122221	-0.496412092303864	8000	1783	20	5	9037000	106
20220408 122447	-0.61415096159229	2063	1025	7	5	10322000	107
20220408 122605	-0.675070230187939	2064	1025	3	5	9075000	108
20220408 122806	-0.500920275566439	2016	991	7	5	10496000	109
20220408 123023	-0.135797453029596	1996	994	10	5	10485000	110
20220408 123302	-0.999969013622817	2370	396	16	5	10201000	111
20220408 123544	-0.921358268104818	2003	992	14	5	10498000	112
20220408 123749	-0.757882010546016	2126	430	7	5	10882000	113
20220408 123927	-0.736940712784683	909	451	7	5	9821000	114
20220408 124128	-0.764234189912495	2051	504	7	5	11006000	115
20220408 124417	-0.348453163944811	2120	546	7	5	10469000	116
