fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220408 192440	2074	24	224	12	5	10910000	1
20220408 192937	826	5	201	11	5	10181000	2
20220408 193653	1628	8	350	4	5	10566000	3
20220408 194810	1538	20	185	4	5	11567000	4
20220408 200811	1938	21	453	7	5	11526000	5
20220408 201739	908	12	77	8	5	11504000	6
20220408 203554	1202	10	329	15	5	11291000	7
20220408 204015	460	27	418	6	5	11510000	8
20220408 204250	1357	2	311	5	5	933000	9
20220408 204424	256	4	133	12	5	10010000	10
20220408 210446	1091	29	98	13	5	10245000	11
20220408 211631	1853	25	266	3	5	11302000	12
20220408 220107	2220	18	484	15	5	11086000	13
20220408 220157	128	17	46	2	5	10465000	14
20220408 222826	2403	10	7	10	5	11270000	15
20220408 223553	586	14	400	9	5	11453000	16
20220408 223711	100	8	45	12	5	10738000	17
20220408 225254	2500	12	500	4	5	11149000	18
20220408 225401	100	23	126	6	5	10464000	19
20220408 232241	2500	18	219	8	5	11554000	20
20220408 233915	1481	11	500	10	5	11362000	21
20220409 002453	2500	14	25	15	5	10610000	22
20220409 003710	2500	19	500	2	5	11070000	23
20220409 005029	2500	27	500	2	5	11215000	24
20220409 013530	2500	20	3	13	5	9832000	25
20220409 014847	1275	18	347	7	5	11613000	26
20220409 020808	1989	16	322	7	5	11449000	27
20220409 022816	1354	26	500	11	5	11435000	28
20220409 024407	1671	13	244	7	5	11501000	29
20220409 024644	671	11	251	2	5	10220000	30
20220409 031204	2500	26	431	7	5	11675000	31
20220409 033845	2500	7	473	15	5	10867000	32
20220409 035500	1771	30	500	6	5	11437000	33
20220409 041426	2500	30	22	4	5	11009000	34
20220409 043536	1921	28	360	7	5	11377000	35
20220409 045153	1636	25	500	6	5	11373000	36
20220409 045243	100	30	402	2	5	10705000	37
20220409 051839	1876	19	500	9	5	11317000	38
20220409 052003	157	5	1	15	5	10225000	39
20220409 054018	2500	20	315	5	5	11196000	40
20220409 055553	1222	17	187	9	5	11132000	41
20220409 061747	2500	10	345	8	5	11569000	42
20220409 062704	517	13	500	15	5	11492000	43
20220409 070350	2500	12	396	13	5	11310000	44
20220409 070813	697	21	500	3	5	11257000	45
20220409 071833	1853	21	1	2	5	11373000	46
20220409 073242	2000	18	122	4	5	11598000	47
20220409 073947	632	9	500	12	5	11070000	48
20220409 082925	2417	26	500	15	5	11159000	49
